row_id,year,ghg_id,facility_name_ghg,longitude,latitude,city,province,sector,value,unit,facility_url,source_df,geometry
GHG-f9e6637d-2022-1,2022,NL-ghg-f0fe159e,Carol Project,-66.9002,52.952,Labrador City,Newfoundland and Labrador,Iron Ore Mining,826.03,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10052-2022.html,ghg_facility_metal_mining_df,POINT (-66.9002 52.952)
GHG-80f307b3-2022-1,2022,NT-ghg-37210dc1,Ekati Diamond Mine,-110.6201,64.7195,Yellowknife,Northwest Territories,Diamond Mining,164.88,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10101-2022.html,ghg_facility_metal_mining_df,POINT (-110.6201 64.7195)
GHG-0c2a4c9e-2022-1,2022,MB-ghg-7947475d,HBMS Flin Flon Metallurgical Complex,-101.884,54.771,Flin Flon,Manitoba,Copper-Zinc Ore Mining,29.73,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10140-2022.html,ghg_facility_metal_mining_df,POINT (-101.884 54.771)
GHG-180bc104-2022-1,2022,ON-ghg-7648e551,Kidd Metallurgical Site,-81.09115,48.57373,Timmins District of Cochrane,Ontario,Copper-Zinc Ore Mining,30.82,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10164-2022.html,ghg_facility_metal_mining_df,POINT (-81.09115 48.57373)
GHG-e7b00178-2022-1,2022,QC-ghg-5e29bbfc,Mine de Mont-Wright,-67.33306,52.76639,Fermont,Quebec,Iron Ore Mining,293.1,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10188-2022.html,ghg_facility_metal_mining_df,POINT (-67.33306 52.76639)
GHG-3ebaa8af-2022-1,2022,QC-ghg-e8c1b6c3,Mines Wabush - Sept-Iles,-66.4838,50.1616,SeptÎles,Quebec,Iron Ore Mining,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10189-2013.html,ghg_facility_metal_mining_df,POINT (-66.4838 50.1616)
GHG-0852c984-2022-1,2022,SK-ghg-2c63e116,Mosaic Potash Belle Plaine,-105.19838,50.42872,Belle Plaine,Saskatchewan,Potash Mining,717.41,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10195-2022.html,ghg_facility_metal_mining_df,POINT (-105.19838 50.42872)
GHG-2b97486b-2022-1,2022,QC-ghg-492bf652,Mine Raglan,-73.6666,61.6916,Rouyn Noranda,Quebec,Nickel-Copper Ore Mining,129.26,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10240-2022.html,ghg_facility_metal_mining_df,POINT (-73.6666 61.6916)
GHG-fd4b22c4-2022-1,2022,QC-ghg-250bb1ea,Usine de Bouletage de Port-Cartier,-66.791,50.0334,Port Cartier,Quebec,Iron Ore Mining,909.89,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10299-2022.html,ghg_facility_metal_mining_df,POINT (-66.791 50.0334)
GHG-5b18c3b6-2022-1,2022,NL-ghg-f6427b8a,Wabush Mines - Scully,-66.86054,52.88682,Wabush,Newfoundland and Labrador,Iron Ore Mining,110.93,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10350-2022.html,ghg_facility_metal_mining_df,POINT (-66.86054 52.88682)
GHG-fe888f2e-2022-1,2022,NT-ghg-eee53082,Diavik Diamond Mines (2012) Inc.,-110.2832,64.4951,Yellowknife,Northwest Territories,Diamond Mining,194.56,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10381-2022.html,ghg_facility_metal_mining_df,POINT (-110.2832 64.4951)
GHG-a09ade1c-2022-1,2022,BC-ghg-672525a8,Teck Highland Valley Copper Partnership,-121.02132,50.47235,Logan Lake,British Columbia,Copper-Zinc Ore Mining,167.63,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10385-2022.html,ghg_facility_metal_mining_df,POINT (-121.02132 50.47235)
GHG-7a2e0444-2022-1,2022,ZZ-ghg-332ebfa2,Kapuskasing Phosphate Operations,0.0,0.0,,Ontario,All Other Non-Metallic Mineral Mining and Quarrying,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10418-2009.html,ghg_facility_metal_mining_df,POINT (0 0)
GHG-61af854c-2022-1,2022,SK-ghg-326cbbdb,Vanscoy Potash Operations,-107.0936,52.0057,Vanscoy,Saskatchewan,Potash Mining,54.75,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10419-2022.html,ghg_facility_metal_mining_df,POINT (-107.0936 52.0057)
GHG-6cd6fe50-2022-1,2022,ON-ghg-771c9b0e,Musselwhite Mine,-90.36806,52.60389,"Concession, Kenora District",Ontario,Gold and Silver Ore Mining,42.15,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10468-2022.html,ghg_facility_metal_mining_df,POINT (-90.36806 52.60389)
GHG-5efaa007-2022-1,2022,SK-ghg-2741863b,Potash Corp - Allan Division,-106.084,51.9386,Allan,Saskatchewan,Potash Mining,104.14,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10533-2022.html,ghg_facility_metal_mining_df,POINT (-106.084 51.9386)
GHG-f72d0d94-2022-1,2022,QC-ghg-b97e09f5,Mine Bachelor,-76.1247,49.4934,Desmaraisville,Quebec,Gold and Silver Ore Mining,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10541-2016.html,ghg_facility_metal_mining_df,POINT (-76.1247 49.4934)
GHG-edc03bac-2022-1,2022,QC-ghg-2804ba23,Mine Barry,-75.46,48.59,Desmaraisville,Quebec,Gold and Silver Ore Mining,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10542-2016.html,ghg_facility_metal_mining_df,POINT (-75.46 48.59)
GHG-b77296ac-2022-1,2022,MB-ghg-7c6ec3b2,Thompson Operations,-97.8561,55.7138,Thompson,Manitoba,Nickel-Copper Ore Mining,20.21,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10569-2022.html,ghg_facility_metal_mining_df,POINT (-97.8561 55.7138)
GHG-20e1ec84-2022-1,2022,NL-ghg-8b0d2833,Voisey's Bay Mine Site,-62.0985,56.3325,Happy Valley Goose Bay,Newfoundland and Labrador,Nickel-Copper Ore Mining,148.26,kilotonnes of carbon dioxide equivalents (kt CO2 eq),https://climate-change.canada.ca/facility-emissions/GHGRP-G10570-2022.html,ghg_facility_metal_mining_df,POINT (-62.0985 56.3325)
